REGNUM,ISO,NAME,GLOBAL_SOUTH,REGION_GEA,CDD (Popwtd),GDPpercap2015,AC_penetr,access_elec,slum_pop,
191,VUT,Vanuatu,1,PAS,2036,2806.789686,0.029064691,0.446696129,0.284,
121,MNG,Mongolia,1,CPA,61,11411.94211,0.029190579,0.811916275,0.427,
184,UKR,Ukraine,0,FSU,212,7464.939834,0.030552468,1,,
17,BGD,Bangladesh,1,SAS,2625,3132.56754,0.031773208,0.682046814,0.551,
47,DJI,Djibouti,1,AFR,3302,3139.273535,0.031983323,0.520257759,0.656,
56,ESP,Spain,0,WEU,448,32291.1552,0.572128521,1,,
57,EST,Estonia,0,EEU,31,27549.58137,0.095579082,1,,
35,CIV,Cote d'Ivoire,1,AFR,2936,3241.612056,0.032679101,0.640861969,0.56,
59,FIN,Finland,0,WEU,23,38941.7636,0.090387402,1,,
36,CMR,Cameroon,1,AFR,2239,3289.064546,0.032688124,0.588651009,0.378,
61,FRA,France,0,WEU,167,37765.75087,0.303053112,1,,
195,ZMB,Zambia,1,AFR,1333,3627.202041,0.033022576,0.311,0.54,
63,GBR,United Kingdom,0,WEU,21,38839.16696,0.086989036,1,,
64,GEO,Georgia,0,FSU,226,9025.133143,0.044554696,0.999934998,,
95,KHM,Cambodia,1,CPA,3300,3290.952454,0.033114883,0.475657387,0.551,
147,PSE,Occupied Palestinian Terr.,1,MEA,959,4339.103693,0.035487757,1,0.249,
123,MRT,Mauritania,1,AFR,3732,3601.61435,0.035594033,0.395,0.799,
141,PNG,Papua New Guinea,1,PAS,2092,3866.513529,0.037128157,0.221889343,0.284,
65,GHA,Ghana,1,AFR,3261,3929.681044,0.038313522,0.757152786,0.379,
70,GRC,Greece,0,WEU,508,24170.30184,0.524533442,1,,
77,HND,Honduras,1,LAC,1696,4311.176397,0.040209805,0.8998171,0.275,
1,ABW,Aruba,1,LAC,,,,0.952381821,0.211,
154,SDN,Sudan,1,MEA,3683,4290.372249,0.04163877,0.380091553,0.916,
137,PAK,Pakistan,1,SAS,2436,4695.699879,0.045233807,0.935,0.455,
187,UZB,Uzbekistan,0,FSU,906,5700.236028,0.047281906,1,,
76,HKG,"China, Hong Kong SAR",1,CPA,1907,53595.24481,0.972987112,1,0.262,
131,NIC,Nicaragua,1,LAC,2430,4960.912412,0.048020442,0.811631393,0.455,
78,HRV,Croatia,0,EEU,244,20759.04815,0.272323808,1,,
119,MMR,Myanmar,1,PAS,2719,5056.859041,0.049278927,0.605,0.41,
80,HUN,Hungary,0,EEU,225,25034.45073,0.322592051,1,,
38,COG,Congo,1,AFR,2448,5542.892982,0.054748212,0.604,0.469,
190,VNM,Viet Nam,1,CPA,2641,5554.858056,0.055058876,1,0.272,
83,IRL,Ireland,0,WEU,4,61543.20777,0.058070329,1,,
192,WSM,Samoa,1,PAS,3205,5558.791879,0.055353219,0.999382782,0.284,
130,NGA,Nigeria,1,AFR,3087,5670.639443,0.056722283,0.525,0.502,
5,AND,Andorra,0,WEU,,,,1,,
87,ISR,Israel,1,MEA,984,32024.35277,0.822851001,1,0.249,
88,ITA,Italy,0,WEU,363,34302.0374,0.509111902,1,,
99,LAO,Lao People's Dem. Republic,1,CPA,2136,5755.059505,0.056959904,0.897,0.314,
82,IND,India,1,SAS,2761,5754.064597,0.057645582,0.88,0.24,
91,JPN,Japan,0,PAO,550,37882.98062,0.655437567,1,,
92,KAZ,Kazakhstan,0,FSU,416,23522.29052,0.454510614,1,,
3,AGO,Angola,1,AFR,1203,6231.067992,0.05800138,0.42,0.555,
111,MAR,Morocco,1,MEA,707,7296.934401,0.060854693,0.995860138,0.131,
24,BOL,Bolivia,1,LAC,1461,6531.519398,0.064625161,0.91522822,0.435,
73,GTM,Guatemala,1,LAC,1053,7292.719104,0.070607826,0.905062943,0.345,
97,KOR,Republic of Korea,1,PAS,538,34177.65447,0.640633059,1,0.284,
140,PHL,Philippines,1,PAS,2715,6874.582566,0.073840673,0.8908,0.383,
168,SWZ,Swaziland,1,AFR,996,7758.495563,0.076765288,0.62994545,0.327,
75,GUY,Guyana,1,LAC,2963,7074.207137,0.077310978,0.835683517,0.331,
28,BTN,Bhutan,1,SAS,1032,7743.337996,0.077375656,0.984235229,0.313,
90,JOR,Jordan,1,MEA,990,8491.050311,0.089612077,0.999983215,0.129,
159,SLV,El Salvador,1,LAC,2258,7845.157575,0.090453154,0.954,0.289,
23,BLZ,Belize,1,LAC,2547,8061.331831,0.095309455,0.918,0.108,
89,JAM,Jamaica,1,LAC,2264,8095.261867,0.095457224,0.972788849,0.211,
25,BRA,Brazil,1,LAC,1665,14666.01817,0.1,0.99710902,0.223,
107,LTU,Lithuania,0,EEU,58,27045.71302,0.134479719,1,,
108,LUX,Luxembourg,0,WEU,97,94088.59223,0.208429615,1,,
109,LVA,Latvia,0,EEU,42,23018.81611,0.096479666,1,,
9,ATG,Antigua & Barbuda,1,LAC,,20154.94749,,0.968262939,0.211,
33,CHL,Chile,1,LAC,48,22536.61769,0.10155158,0.99714844,0.09,
112,MDA,Republic of Moldova,0,FSU,251,4746.784911,0.018788538,1,,
60,FJI,Fiji,1,PAS,2001,8477.644733,0.102643431,0.971194916,0.284,
146,PRY,Paraguay,1,LAC,1659,8639.28685,0.104026635,0.99331532,0.211,
127,NAM,Namibia,1,AFR,1362,9964.222994,0.132384246,0.507034302,0.332,
116,MKD,TFYR Macedonia,0,EEU,138,12759.8166,0.065256978,1,,
53,EGY,Egypt,1,MEA,1428,10095.61017,0.1372239,1,0.106,
19,BHR,Bahrain,1,MEA,,43926.47404,,1,0.249,
179,TUN,Tunisia,1,MEA,1116,10749.85917,0.147675839,1,0.08,
120,MNE,Montenegro,0,EEU,98,15289.7174,0.077856069,0.999991608,,
81,IDN,Indonesia,1,PAS,3012,10367.6953,0.154611223,0.975373674,0.218,
188,VCT,Saint Vincent and the Grenadines,1,LAC,3307,10447.52839,0.157325928,0.994550629,0.211,
52,ECU,Ecuador,1,LAC,2086,10749.12887,0.164147412,0.98825883,0.36,
194,ZAF,South Africa,1,AFR,678,12362.58381,0.166792615,0.855,0.23,
139,PER,Peru,1,LAC,971,11767.52174,0.172277415,0.93852179,0.342,
100,LBN,Lebanon,1,MEA,522,13352.71339,0.174377333,1,0.531,
105,LKA,Sri Lanka,1,SAS,2848,11061.84358,0.17712201,0.938899002,0.313,
51,DZA,Algeria,1,MEA,900,13724.72385,0.23820818,0.993367081,0.119,
39,COL,Colombia,1,LAC,1491,12985.38313,0.239690176,0.98186898,0.131,
50,DOM,Dominican Republic,1,LAC,2073,13371.52499,0.266951881,0.98560364,0.121,
114,MDV,Maldives,1,SAS,3518,13705.00532,0.287866737,0.999940109,0.313,
132,NLD,Netherlands,0,WEU,61,46494.36426,0.153146979,1,,
133,NOR,Norway,0,WEU,14,64008.28683,0.075521182,1,,
175,TKM,Turkmenistan,0,FSU,1207,14992.32314,0.319394584,1,,
135,NZL,New Zealand,0,PAO,59,34646.31361,0.147586095,1,,
42,CRI,Costa Rica,1,LAC,1871,14914.20675,0.340334716,0.99409804,0.055,
164,SUR,Suriname,1,LAC,3138,14766.79918,0.341559247,0.877446747,0.073,
85,IRQ,Iraq,1,MEA,2278,14928.8864,0.346473364,0.998621826,0.472,
29,BWA,Botswana,1,AFR,1512,15356.45762,0.353570326,0.585287514,0.559,
173,THA,Thailand,1,PAS,3116,15236.70646,0.366948938,0.996,0.25,
84,IRN,Iran (Islamic Republic of),1,MEA,1014,16500.90051,0.377280787,0.999750519,0.249,
142,POL,Poland,0,EEU,96,25299.97435,0.178685557,1,,
185,URY,Uruguay,1,LAC,570,19831.44589,0.426562626,0.9970948,0.211,
7,ARG,Argentina,1,LAC,748,19101.29739,0.453799748,0.999952087,0.167,
145,PRT,Portugal,0,WEU,346,26607.83312,0.450801361,1,,
62,GAB,Gabon,1,AFR,2600,16836.60591,0.456282675,0.903074722,0.37,
34,CHN,China,1,CPA,879,13569.89153,0.5,1,0.252,
124,MUS,Mauritius,1,AFR,1798,18864.10566,0.559986158,0.987412567,0.559,
138,PAN,Panama,1,LAC,2499,20674.29973,0.672683416,0.925548401,0.258,
150,ROU,Romania,0,EEU,209,20545.07714,0.240575252,1,,
151,RUS,Russian Federation,0,FSU,170,24516.54995,0.259934235,1,,
20,BHS,Bahamas,1,LAC,2401,21081.1124,0.691906054,1,0.211,
115,MEX,Mexico,1,LAC,968,16671.91198,0.7,0.99,0.111,
126,MYS,Malaysia,1,PAS,2686,25001.61267,0.849534752,0.999985886,0.284,
69,GNQ,Equatorial Guinea,1,AFR,2097,27572.58751,0.674737473,0.674737473,0.662,
26,BRB,Barbados,1,LAC,,,,1,0.211,
177,TON,Tonga,1,PAS,2949,31283.45801,0.959427292,0.961754532,0.284,
143,PRI,Puerto Rico,0,NAM,2233,35291.80356,0.971034039,1,,
136,OMN,Oman,1,MEA,2536,40138.95172,0.987090344,1,0.249,
153,SAU,Saudi Arabia,1,MEA,2584,50723.71265,0.992057358,1,0.18,
161,SRB,Serbia,0,EEU,216,13277.80012,0.098156716,0.999827423,,
27,BRN,Brunei Darussalam,1,PAS,3006,74600.1643,0.996563081,1,0.284,
98,KWT,Kuwait,1,MEA,3008,68476.32504,0.996571565,1,0.249,
6,ARE,United Arab Emirates,1,MEA,3052,65975.37555,0.996837326,1,0.249,
165,SVK,Slovakia,0,EEU,99,28308.87977,0.196176717,1,,
166,SVN,Slovenia,0,EEU,114,29037.74168,0.218919312,1,,
167,SWE,Sweden,0,WEU,23,45679.278,0.090836423,1,,
149,QAT,Qatar,1,MEA,3226,119749.4285,0.997723159,1,0.249,
41,CPV,Cape Verde,1,AFR,,5915.122633,,0.902439041,0.559,
43,CUB,Cuba,1,LAC,2531,,,1,0.211,
48,DMA,Dominica,1,LAC,,9941.894925,,0.999029694,0.211,
54,ERI,Eritrea,1,AFR,1888,1510.458929,0.021397846,0.455133209,0.559,
55,ESH,Western Sahara,1,AFR,1769,,,0,0.559,
71,GRD,Grenada,1,LAC,,12757.96625,,0.918716888,0.06,
72,GRL,Greenland,0,WEU,,,,1,,
74,GUF,French Guiana,1,LAC,2716,,,0,0.211,
86,ISL,Iceland,0,WEU,,43048.12515,,1,,
96,KNA,Saint Kitts,1,LAC,,24169.85992,,0.999300156,0.211,
102,LBY,Libyan Arab Jamahiriya,1,MEA,1487,14847.19705,0.32637951,0.985287628,0.119,
180,TUR,Turkey,0,WEU,403,23388.4813,0.443093808,1,0.119,
103,LCA,St. Lucia,1,LAC,,12522.04023,,0.971630783,0.119,
104,LIE,Liechtenstein,0,WEU,,,,1,,
110,MAC,Macau,1,CPA,,100444.5936,,1,0.262,
118,MLT,Malta,0,WEU,,34087.08151,,1,,
128,NCL,New Caledonia,1,PAS,1321,,,1,0.284,
186,USA,United States of America,0,NAM,710,53029.29336,0.74826754,1,,
144,PRK,North Korea,1,CPA,350,,,0.374463196,0.262,
148,PYF,French Polynesia,1,PAS,1221,,,1,0.284,
156,SGP,Singapore,1,PAS,,81741.09694,,1,0.284,
160,SOM,Somalia,1,AFR,3200,,,0.282924042,0.736,
163,STP,Sao Tome and Principe,1,LAC,,2947.510971,,0.645101471,0.866,
169,SYC,Seichelles,1,AFR,,24856.5599,,0.996783218,0.559,
170,SYR,Syrian Arab Republic,1,MEA,1180,,,0.996365204,0.193,
178,TTO,Trinidad and Tobago,1,LAC,2949,31524.58862,0.961397362,1,0.247,
181,TWN,Taiwan,1,PAS,1229,,,1,0.284,
189,VEN,Venezuela,1,LAC,2419,16745.02198,0.449592952,0.994607391,0.211,
